Milestone,Date,Notes,Status
"
Kickoff Brainstorm
","August 19, 2025","
Align on idea spaces & boundaries
",Done
"
Concept Round 1 Share-back
","September 24, 2025","
Each designer presents 2 directions
",Not started
"
Internal Evaluation
","September 25, 2025","
Use rubric + group synthesis
",Not started
"
Refinement Round
","September 25, 2025 → October 3, 2025","
Both designers collaborate on selected direction(s)
",Not started
"
Development Committee Presentation
","September 24, 2025","
Update sub-committee on designs maybe
",Not started
"
Stakeholder Evaluation
","October 8, 2025","
Gather broader feedback
",Not started
"
Final Presentation
","August 25, 2025","
Refined brand direction ready for board input
",Not started
"
Refinement Round
","October 9, 2025 → October 24, 2025","
Apply stakeholder input
",Not started
"
Board Meeting Presentation
","November 4, 2025","
Final board presentation (hard deadline)
",Not started
