State	Organization	URL	LH_Perf	LH_A11y	LH_BP	LH_SEO	axe_violations	AuditStatus	Facebook	Instagram	YouTube	LinkedIn
Connecticut	Connecticut Farmland Trust	https://ctfarmland.org	65.0	92.0	89.0	82.0	3	OK	https://www.facebook.com/CTFarmland	https://www.instagram.com/ctfarmland/	https://www.youtube.com/channel/UC6UQ8KraWsZKftvQailgqng	
Florida	Alachua Conservation Trust	https://www.alachuaconservationtrust.org	39.0	91.0	96.0	100.0	3	OK	https://www.facebook.com/AlachuaConservationTrust/	https://www.instagram.com/alachuaconservationtrust/	https://www.youtube.com/channel/UCIlBquOLc9lL-C5Dw9MdVng	https://www.linkedin.com/company/alachua-conservation-trust/
Florida	Conservation Florida	https://conservationfla.org	47.0	94.0	96.0	92.0	3	OK	https://www.facebook.com/conserveflorida	https://www.instagram.com/conservationflorida/		https://linkedin.com/company/conservationflorida
Florida	Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com					ERR	ManualReview				
Florida	North Florida Land Trust	https://www.nflt.org	61.0	86.0	82.0	85.0	3	OK				
Florida	Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	47.0	74.0	93.0	100.0	7	OK				
Florida	Tampa Bay Conservancy	https://tampabayconservancy.org	68.0	82.0	100.0	92.0	3	OK				
Georgia	Athens Land Trust	https://athenslandtrust.org	55.0	73.0	71.0	85.0	12	OK	https://www.facebook.com/athenslandtrust	https://www.instagram.com/athenslandtrust/		http://linkedin.com/in/adamswilson
Georgia	Central Savannah River Land Trust	https://csrlt.org	59.0	56.0	96.0	77.0	8	OK	https://www.facebook.com/pages/Central-Savannah-River-Land-Trust/83505055673			
Georgia	Chattooga Conservancy	https://chattoogaconservancy.org					ERR	ManualReview				
Georgia	Georgia-Alabama Land Trust	https://galandtrust.org	39.0	92.0	100.0	85.0	3	OK				
Georgia	Georgia Piedmont Land Trust	https://gplandtrust.org					ERR	ManualReview				
Georgia	Mountain Conservation Trust of Georgia	https://mctga.org	68.0	90.0	100.0	92.0	6	OK	https://www.facebook.com/MountainConservationTrust/	https://www.instagram.com/explore/tags/mountainconservationtrust/		
Georgia	Ocmulgee Land Trust	https://ocmulgeelandtrust.com	57.0	88.0	79.0	100.0	6	OK				
Georgia	St. Simons Land Trust	https://sslt.org	0.0	80.0	93.0	69.0	8	OK	https://www.facebook.com/stsimonslandtrust/	https://www.instagram.com/stsimonslandtrust/	https://www.youtube.com/channel/UCxjj8ccFykIqTAnZPmz7-GA	
Hawaii	Hawaiian Islands Land Trust	https://hilt.org	28.0	85.0	96.0	85.0	3	OK				
Idaho	Kaniksu Land Trust	https://kaniksu.org	47.0	87.0	100.0	100.0	5	OK				
Idaho	Land Trust of the Treasure Valley	https://www.lttv.org	38.0	92.0	96.0	100.0	5	OK	https://www.facebook.com/LandTrustTreasureValley/	http://instagram.com/landtrusttreasurevalley		
Idaho	Lemhi Regional Land Trust	https://lemhilandtrust.org	68.0	90.0	100.0	92.0	4	OK				
Idaho	Palouse Land Trust	https://palouselandtrust.org	30.0	85.0	96.0	92.0	6	OK				
Idaho	Sagebrush Steppe Land Trust	https://www.sagebrushlandtrust.org	47.0	81.0	96.0	85.0	5	OK				
